COUNTRY,year,average_precipitation,forest_pct,total_ghg_kt_include_CO2,fossil_fuel_twh
Indonesia,2000,3345.4768,53.94352866735304,844.6395,1120.7551
Indonesia,2001,3229.5308,53.85720197771634,1042.8184,1195.4318
Indonesia,2002,2710.366,53.77087528807965,1039.8809,1234.5375
Indonesia,2003,3076.247,53.68454859844295,1015.0981,1347.7485
Indonesia,2004,2796.858,53.59822190880625,1281.0276,1330.411
Indonesia,2005,3123.9282,53.51189521916956,1268.8017,1367.98
Indonesia,2006,2938.029,53.42556852953285,1625.2476,1395.4698
Indonesia,2007,3324.9883,53.33924183989616,1468.0546,1495.4548
Indonesia,2008,3469.9106,53.25291515025946,1428.045,1509.4739
Indonesia,2009,2958.5574,53.16658846062276,1581.3442,1549.363
Indonesia,2010,3773.515,53.08026177098607,1234.9787,1663.9152
Indonesia,2011,3257.664,52.58691922691595,1369.2086,1774.5859
Indonesia,2012,3340.6816,52.09357668284582,1488.1824,1870.2937
Indonesia,2013,3652.3726,51.60023413877569,1467.3523,1743.6487
Indonesia,2014,3072.5667,51.10689159470556,1782.7673,1771.8632
Indonesia,2015,2802.0144,50.61354905063544,2508.5058,1823.6007
Indonesia,2016,3754.9534,50.74345452695819,1826.3722,1777.4062
Indonesia,2017,3661.763,50.039333822986606,1622.1146,1916.0562
Indonesia,2018,3210.189,49.71681777920756,1436.2158,1964.019
Indonesia,2019,2868.7268,49.39429640925072,1823.5933,2063.5376
Indonesia,2020,3613.3914,49.07178036547167,1368.3531,1895.2218
Indonesia,2021,3506.876,48.36194486812056,1352.0757,1957.7019
Indonesia,2022,3572.854,48.0419900717626,1479.195,2472.9053
Indonesia,2023,2951.8508,47.72203369024635,1559.2181,2491.822
Malaysia,2000,2963.9946,59.93410439811292,-27.038899999999984,589.8071
Malaysia,2001,2989.4102,59.70774615735809,-62.37439999999998,607.23865
Malaysia,2002,2321.6917,59.48138791660325,-68.52459999999999,643.1905
Malaysia,2003,2589.8374,59.25502967584843,-54.91730000000001,699.2359
Malaysia,2004,2361.7563,59.02867143509359,-29.222800000000007,755.0283
Malaysia,2005,2476.1064,58.802313194338765,15.101300000000007,817.3329
Malaysia,2006,2944.8538,58.57595495358393,-16.095100000000002,825.1472
Malaysia,2007,3280.7231,58.3495967128291,50.2627,881.82056
Malaysia,2008,3518.5122,58.12323847207427,12.798599999999992,909.63776
Malaysia,2009,2922.3713,57.89688023131944,50.074900000000014,881.4965
Malaysia,2010,3116.2285,57.6705219905646,60.74850000000001,913.4481
Malaysia,2011,3134.2332,57.98497641150511,10.868200000000002,924.039
Malaysia,2012,3169.128,58.2994308324456,33.01649999999998,1009.16364
Malaysia,2013,3105.3228,58.61388525338609,28.552599999999984,1050.7953
Malaysia,2014,2850.7173,58.928339674326594,62.81220000000002,1055.0323
Malaysia,2015,2687.2253,59.24279409526708,85.61599999999999,1069.4241
Malaysia,2016,2734.0088,58.78752092527774,63.41550000000001,1110.9213
Malaysia,2017,3257.1455,58.6348805356871,37.72299999999999,1109.321
Malaysia,2018,2909.1565,58.48224014609649,90.45919999999998,1129.429
Malaysia,2019,2523.0012,58.32959975650586,72.11009999999999,1157.2424
Malaysia,2020,3143.626,58.17695936691523,40.977,1106.6602
Malaysia,2021,3160.4644,58.02431897732461,70.30860000000001,1150.8708
Malaysia,2022,3444.339,57.871678587733975,89.74420000000003,1244.3306
Malaysia,2023,3155.8706,57.71903819814336,95.36950000000002,1212.2719
